"ReadingOriginal","ReadingStand","Values","Humidity"
"22/12/2020 14:27:01",2020-12-22 14:27:01,28.375,23.886
"22/12/2020 15:27:01",2020-12-22 15:27:01,25.313,20.653
"22/12/2020 16:27:01",2020-12-22 16:27:01,17.688,32.35
"22/12/2020 17:27:01",2020-12-22 17:27:01,13.063,44.007
"22/12/2020 18:27:01",2020-12-22 18:27:01,11.563,50.713
"22/12/2020 19:27:01",2020-12-22 19:27:01,9.813,54.745
"22/12/2020 20:27:01",2020-12-22 20:27:01,8.625,58.139
"22/12/2020 21:27:01",2020-12-22 21:27:01,10.563,57.181
"22/12/2020 22:27:01",2020-12-22 22:27:01,10.625,59.217
"22/12/2020 23:27:01",2020-12-22 23:27:01,9.313,62.45
"23/12/2020 00:27:01",2020-12-23 00:27:01,7.75,66.003
"23/12/2020 01:27:01",2020-12-23 01:27:01,6.188,70.115
"23/12/2020 02:27:01",2020-12-23 02:27:01,5.438,71.313
"23/12/2020 03:27:01",2020-12-23 03:27:01,5.563,70.674
"23/12/2020 04:27:01",2020-12-23 04:27:01,6.813,69.317
"23/12/2020 05:27:01",2020-12-23 05:27:01,8.375,68.957
"23/12/2020 06:27:01",2020-12-23 06:27:01,6.063,73.708
"23/12/2020 07:27:01",2020-12-23 07:27:01,8.75,71.193
"23/12/2020 08:27:01",2020-12-23 08:27:01,12.125,67.92
"23/12/2020 09:27:01",2020-12-23 09:27:01,16.313,50.873
"23/12/2020 10:27:01",2020-12-23 10:27:01,20.125,30.274
"23/12/2020 11:27:01",2020-12-23 11:27:01,25.313,19.774
"23/12/2020 12:27:01",2020-12-23 12:27:01,26.25,15.862
"23/12/2020 13:27:01",2020-12-23 13:27:01,26.25,14.385
"23/12/2020 14:27:01",2020-12-23 14:27:01,25.063,13.068
"23/12/2020 15:27:01",2020-12-23 15:27:01,21.125,14.984
"23/12/2020 16:27:01",2020-12-23 16:27:01,17.063,15.463
"23/12/2020 17:27:01",2020-12-23 17:27:01,15.063,16.621
"23/12/2020 18:27:01",2020-12-23 18:27:01,14.938,14.944
"23/12/2020 19:27:01",2020-12-23 19:27:01,14.25,15.223
"23/12/2020 20:27:01",2020-12-23 20:27:01,13.5,14.904
"23/12/2020 21:27:01",2020-12-23 21:27:01,13.375,15.064
"23/12/2020 22:27:01",2020-12-23 22:27:01,13.688,14.784
"23/12/2020 23:27:01",2020-12-23 23:27:01,13.125,14.185
"24/12/2020 00:27:01",2020-12-24 00:27:01,12.688,14.066
"24/12/2020 01:27:01",2020-12-24 01:27:01,12.938,13.028
"24/12/2020 02:27:01",2020-12-24 02:27:01,12.75,12.908
"24/12/2020 03:27:01",2020-12-24 03:27:01,12.813,14.066
"24/12/2020 04:27:01",2020-12-24 04:27:01,12.938,13.746
"24/12/2020 05:27:01",2020-12-24 05:27:01,12.188,13.986
"24/12/2020 06:27:01",2020-12-24 06:27:01,12.625,14.106
"24/12/2020 07:27:01",2020-12-24 07:27:01,12.063,14.944
"24/12/2020 08:27:01",2020-12-24 08:27:01,15.813,14.225
"24/12/2020 09:27:01",2020-12-24 09:27:01,15.75,14.026
"24/12/2020 10:27:01",2020-12-24 10:27:01,17.563,14.225
"24/12/2020 11:27:01",2020-12-24 11:27:01,17.063,15.782
"24/12/2020 12:27:01",2020-12-24 12:27:01,23.625,12.269
"24/12/2020 13:27:01",2020-12-24 13:27:01,21.688,12.269
"24/12/2020 14:27:01",2020-12-24 14:27:01,17.938,14.425
"24/12/2020 15:27:01",2020-12-24 15:27:01,12.75,41.052
"24/12/2020 16:27:01",2020-12-24 16:27:01,14,34.226
"24/12/2020 17:27:01",2020-12-24 17:27:01,14.938,29.914
"24/12/2020 18:27:01",2020-12-24 18:27:01,14.5,31.511
"24/12/2020 19:27:01",2020-12-24 19:27:01,14.375,31.551
"24/12/2020 20:27:01",2020-12-24 20:27:01,13.25,33.907
"24/12/2020 21:27:01",2020-12-24 21:27:01,12.938,35.543
"24/12/2020 22:27:01",2020-12-24 22:27:01,10.563,37.3
"24/12/2020 23:27:01",2020-12-24 23:27:01,9.563,40.294
"25/12/2020 00:27:01",2020-12-25 00:27:01,8.75,41.971
"25/12/2020 01:27:01",2020-12-25 01:27:01,8.438,44.326
"25/12/2020 02:27:01",2020-12-25 02:27:01,8.25,44.885
"25/12/2020 03:27:01",2020-12-25 03:27:01,7.813,46.282
"25/12/2020 04:27:01",2020-12-25 04:27:01,7.625,47.44
"25/12/2020 05:27:01",2020-12-25 05:27:01,10.125,42.729
"25/12/2020 06:27:01",2020-12-25 06:27:01,9.438,42.21
"25/12/2020 07:27:01",2020-12-25 07:27:01,10,42.769
"25/12/2020 08:27:01",2020-12-25 08:27:01,10.438,43.168
"25/12/2020 09:27:01",2020-12-25 09:27:01,18,36.062
"25/12/2020 10:27:01",2020-12-25 10:27:01,23.875,27.16
"25/12/2020 11:27:01",2020-12-25 11:27:01,29.688,20.812
"25/12/2020 12:27:01",2020-12-25 12:27:01,32.438,15.742
"25/12/2020 13:27:01",2020-12-25 13:27:01,34.188,13.906
"25/12/2020 14:27:01",2020-12-25 14:27:01,31.313,13.986
"25/12/2020 15:27:01",2020-12-25 15:27:01,28.688,15.583
"25/12/2020 16:27:01",2020-12-25 16:27:01,20.438,22.369
"25/12/2020 17:27:01",2020-12-25 17:27:01,13.875,33.228
"25/12/2020 18:27:01",2020-12-25 18:27:01,13,34.585
"25/12/2020 19:27:01",2020-12-25 19:27:01,11.438,37.699
"25/12/2020 20:27:01",2020-12-25 20:27:01,10.438,40.294
"25/12/2020 21:27:01",2020-12-25 21:27:01,9.563,42.49
"25/12/2020 22:27:01",2020-12-25 22:27:01,9.188,44.086
"25/12/2020 23:27:01",2020-12-25 23:27:01,8.875,44.206
"26/12/2020 00:27:01",2020-12-26 00:27:01,8.813,44.446
"26/12/2020 01:27:01",2020-12-26 01:27:01,8.688,47.001
"26/12/2020 02:27:01",2020-12-26 02:27:01,9.063,46.961
"26/12/2020 03:27:01",2020-12-26 03:27:01,7.063,51.272
"26/12/2020 04:27:01",2020-12-26 04:27:01,6.875,52.749
"26/12/2020 05:27:01",2020-12-26 05:27:01,6.688,54.107
"26/12/2020 06:27:01",2020-12-26 06:27:01,6.438,55.185
"26/12/2020 07:27:01",2020-12-26 07:27:01,6.875,54.506
"26/12/2020 08:27:01",2020-12-26 08:27:01,8.875,50.993
"26/12/2020 09:27:01",2020-12-26 09:27:01,16.188,45.204
"26/12/2020 10:27:01",2020-12-26 10:27:01,23.375,33.188
"26/12/2020 11:27:01",2020-12-26 11:27:01,26.438,27.359
"26/12/2020 12:27:01",2020-12-26 12:27:01,29.375,26.321
"26/12/2020 13:27:01",2020-12-26 13:27:01,32.188,22.928
"26/12/2020 14:27:01",2020-12-26 14:27:01,30.625,22.848
"26/12/2020 15:27:01",2020-12-26 15:27:01,26.438,28.318
"26/12/2020 16:27:01",2020-12-26 16:27:01,18.375,41.851
"26/12/2020 17:27:01",2020-12-26 17:27:01,13.438,55.065
"26/12/2020 18:27:01",2020-12-26 18:27:01,11.438,59.935
"26/12/2020 19:27:01",2020-12-26 19:27:01,10.688,62.969
"26/12/2020 20:27:01",2020-12-26 20:27:01,9.813,65.804
"26/12/2020 21:27:01",2020-12-26 21:27:01,9.125,67.8
"26/12/2020 22:27:01",2020-12-26 22:27:01,7.938,70.315
"26/12/2020 23:27:01",2020-12-26 23:27:01,7.75,70.993
"27/12/2020 00:27:01",2020-12-27 00:27:01,9.188,70.674
"27/12/2020 01:27:01",2020-12-27 01:27:01,9.563,72.071
"27/12/2020 02:27:01",2020-12-27 02:27:01,9.5,74.666
"27/12/2020 03:27:01",2020-12-27 03:27:01,8.875,74.746
"27/12/2020 04:27:01",2020-12-27 04:27:01,8.875,76.143
"27/12/2020 05:27:01",2020-12-27 05:27:01,8.688,76.183
"27/12/2020 06:27:01",2020-12-27 06:27:01,8.063,77.7
"27/12/2020 07:27:01",2020-12-27 07:27:01,9.813,76.143
"27/12/2020 08:27:01",2020-12-27 08:27:01,15.125,67.76
"27/12/2020 09:27:01",2020-12-27 09:27:01,14.313,68.119
"27/12/2020 10:27:01",2020-12-27 10:27:01,19.75,57.58
"27/12/2020 11:27:01",2020-12-27 11:27:01,21.438,50.394
"27/12/2020 12:27:01",2020-12-27 12:27:01,17.938,53.747
"27/12/2020 13:27:01",2020-12-27 13:27:01,24.125,42.809
"27/12/2020 14:27:01",2020-12-27 14:27:01,24.125,42.889
"27/12/2020 15:27:01",2020-12-27 15:27:01,24.063,39.176
"27/12/2020 16:27:01",2020-12-27 16:27:01,16.063,52.63
"27/12/2020 17:27:01",2020-12-27 17:27:01,14.063,60.973
"27/12/2020 18:27:01",2020-12-27 18:27:01,12.438,66.203
"27/12/2020 19:27:01",2020-12-27 19:27:01,11.75,68.957
"27/12/2020 20:27:01",2020-12-27 20:27:01,11.125,72.351
"27/12/2020 21:27:01",2020-12-27 21:27:01,11.688,71.153
"27/12/2020 22:27:01",2020-12-27 22:27:01,10.875,71.153
"27/12/2020 23:27:01",2020-12-27 23:27:01,10.375,73.988
